district,blood_group,observations,average_stock,median_stock,total_units,stockout_percentage,low_stock_percentage
Solapur,B-,529,3.5255198487712667,2.0,1865.0,17.580340264650285,64.83931947069944
Solapur,O+,529,57.53119092627599,44.0,30434.0,2.835538752362949,7.561436672967864
Solapur,O-,529,3.9262759924385633,3.0,2077.0,17.76937618147448,53.30812854442344
Thane,A+,703,22.0199146514936,18.0,15480.0,7.254623044096728,14.935988620199147
Thane,A-,703,2.7709815078236133,0.0,1948.0,50.782361308677096,43.66998577524893
Thane,AB+,703,7.817923186344239,5.0,5496.0,15.931721194879088,36.84210526315789
Thane,AB-,703,1.3186344238975818,0.0,927.0,60.4551920341394,37.55334281650071
Thane,B+,703,21.477951635846374,12.0,15099.0,7.823613086770982,22.90184921763869
Thane,B-,703,3.136557610241821,1.0,2205.0,40.54054054054054,55.47652916073969
Thane,O+,703,32.63015647226174,20.0,22939.0,6.258890469416785,9.388335704125177
Thane,O-,703,2.0753911806543384,1.0,1459.0,42.2475106685633,47.368421052631575
Wardha,A+,96,20.65625,18.0,1983.0,0.0,9.375
Wardha,A-,96,1.2708333333333333,1.0,122.0,42.70833333333333,57.291666666666664
Wardha,AB+,96,5.104166666666667,3.0,490.0,8.333333333333332,58.333333333333336
Wardha,AB-,96,0.5208333333333334,0.0,50.0,63.541666666666664,36.45833333333333
Wardha,B+,96,31.4375,20.0,3018.0,0.0,9.375
Wardha,B-,96,2.2708333333333335,1.0,218.0,25.0,54.166666666666664
Wardha,O+,96,35.15625,33.0,3375.0,0.0,0.0
Wardha,O-,96,2.7604166666666665,2.0,265.0,17.708333333333336,69.79166666666666
Washim,A+,96,12.197916666666666,3.0,1171.0,37.5,27.083333333333332
Washim,A-,96,0.7604166666666666,0.0,73.0,72.91666666666666,27.083333333333332
Washim,AB+,96,6.364583333333333,0.0,611.0,55.208333333333336,18.75
Washim,AB-,96,1.0625,0.0,102.0,55.208333333333336,44.79166666666667
Washim,B+,96,18.5625,2.5,1782.0,41.66666666666667,26.041666666666668
Washim,B-,96,0.4479166666666667,0.0,43.0,69.79166666666666,30.208333333333332
Washim,O+,96,13.645833333333334,7.5,1310.0,26.041666666666668,18.75
Washim,O-,96,1.1979166666666667,0.0,115.0,53.125,45.83333333333333
Yavatmal,A+,144,34.69444444444444,35.0,4996.0,16.666666666666664,0.0
Yavatmal,A-,144,3.3055555555555554,2.0,476.0,18.055555555555554,62.5
Yavatmal,AB+,144,16.375,14.0,2358.0,17.36111111111111,9.722222222222223
Yavatmal,AB-,144,1.3958333333333333,1.0,201.0,39.58333333333333,59.72222222222222
Yavatmal,B+,144,40.3125,28.0,5805.0,16.666666666666664,2.083333333333333
Yavatmal,B-,144,2.1805555555555554,2.0,314.0,21.52777777777778,70.13888888888889
Yavatmal,O+,144,54.013888888888886,48.0,7778.0,15.972222222222221,0.6944444444444444
Yavatmal,O-,144,4.8125,5.0,693.0,18.055555555555554,38.88888888888889
