origin_code,origin_bank,origin_district,blood_group,origin_stock,alternative_code,alternative_bank,alternative_district,alternative_stock,predicted_stockout_probability,alternative_bbri,distance_km,decision_support_score,rank
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18030,K.J.Somaiya Medical College And Hospital Blood Centre,Mumbai,5.0,0.020200967498071213,18.100022455884638,10.815823,60.030131,7
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18136,M/S. Global Hospital-Super Speciality Andtransplant Centre,Mumbai,3.0,0.02244272889835172,29.565697140193056,4.457094,58.289875,8
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18189,Jupiter Hospital Blood Centre,Thane,3.0,0.022294795880889055,18.711704842047816,29.630638,57.107899,9
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18049,Rotary D.G Goenka Blood Centre( Municipal Gen. Hospital),Mumbai,1.0,0.0881470821964788,23.70184056639698,16.836985,55.930477,10
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18005,Breach Candy Hospital Trust Blood Centre,Mumbai,1.0,0.16192310375544097,28.47575407478048,0.583569,55.298416,11
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18045,"Dr. L. H. Hiranandani Hospital, Blood Centre",Mumbai,3.0,0.1030448838687197,24.559686776028258,20.015676,55.201545,12
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18199,"Navi Mumbai Muncipal Corporation, Blood Centre",Thane,3.0,0.029733840264406706,34.57036266476715,23.144056,54.615069,13
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18190,Kai Wamanrao Oka Rakta Kendra,Thane,3.0,0.02976087935049767,30.536771202308334,29.635004,54.555652,14
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18042,"Matoshri Valbai Mulji Shah, Arpan Blood Centre",Mumbai,1.0,0.0881470821964788,28.759283902828916,23.017886,54.094869,15
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,282577,"Welfare And Educational Trust Of Nmrcw, Chemist Blood Centre",Thane,1.0,0.12308353711446549,21.887112426551397,29.943306,53.672502,16
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,18052,Holy Spirit Hospital Blood Centre,Mumbai,1.0,0.12308353711446549,32.88530704755652,18.414109,53.01009,17
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,A-,0.0,27116,"Blood Bank Civil Hospital, Alibag",Raigarh,1.0,0.0881470821964788,24.73845144181908,37.370891,52.985301,18
