blood_group,donor_code,donor_name,recipient_code,recipient_name,distance_km,donor_surplus,recipient_deficit,recommended_units,priority_score
O+,283305,Surabhi Hospital Pvt.Ltd. Surabhi Blood Centre,18173,DevaS Health And Devlopment Foundation Samta Blood Centre,118.83818326635149,69,5,5,0.04172292890060788
O+,280123,M/S Vidyashree Charitable Trusts Om Blood Centre,280738,Superitendent Gokuldas Tejpal Hospital,118.86320252855457,170,5,5,0.041714219998492605
O+,284555,M/S. Freedom Foundation Sanchlit Lifeline Blood Centre,18141,Ahmednagar Municipal Council Blood Centre,118.89592625185625,53,5,5,0.04170283475267442
O+,18043,Poona Serological Institute Blood Centre,280738,Superitendent Gokuldas Tejpal Hospital,118.91627723860117,63,5,5,0.04169575736621096
O+,18069,Jankalyan Raktapedhi Pune,18014,Bombay Hospital Trust Blood Centre,118.93051030636398,299,5,5,0.04169080901288119
O+,18082,Rakesh Jain Memorial Blood Centre,18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",118.98881670127703,38,5,5,0.04167055011841604
O+,18190,Kai Wamanrao Oka Rakta Kendra,283795,Autus Blood Centre,119.00106736303033,21,5,5,0.04166629605779981
O+,18045,"Dr. L. H. Hiranandani Hospital, Blood Centre",283795,Autus Blood Centre,119.0094344075223,10,5,5,0.041663391088247605
O+,18042,"Matoshri Valbai Mulji Shah, Arpan Blood Centre",283795,Autus Blood Centre,119.02820486986668,12,5,5,0.04165687561036964
O+,280123,M/S Vidyashree Charitable Trusts Om Blood Centre,18014,Bombay Hospital Trust Blood Centre,119.03030172974938,170,5,5,0.04165614788886893
O+,18187,Chhatrapati Shivaji Maharaj Hospital Blood Centre Csm,18071,Kem Hospital Blood Centre,119.0367127777963,13,5,5,0.04165392307314893
