hospital_code,blood_bank_name,district,degree,degree_centrality,betweenness_centrality,closeness_centrality
18140,Shri Sainath Blood Centre,Ahmadnagar,5,0.015197568389057751,0.00018533619986655796,0.0010046919776459447
18261,Akola Diagnostic Centre Blood Centre And Component Lab,Akola,3,0.00911854103343465,0.0,0.0044706359660434585
18141,Ahmednagar Municipal Council Blood Centre,Ahmadnagar,9,0.02735562310030395,0.0,0.0008926891962041072
18262,"Civil Surgeon, District General Hospital Blood Centre",Parbhani,1,0.00303951367781155,0.0,0.0024346715712381564
284448,"Shwas Foundation Poona Blood Centre, Narayangaon, Tal- Junnar, Dist. Pune",Pune,30,0.0911854103343465,0.0,0.01588380147723642
284443,"Maharashtra Blood Centre, Waluj Midc, Dist. Chh. Sambhaji Nagar (Aurangabad)",Aurangabad,11,0.03343465045592705,0.0,0.0016624956274845172
18234,Sanjivan Blood Centre,Chandrapur,4,0.0121580547112462,1.8533619986655795e-05,0.0008539550009748017
18113,M/S Jeevan Jyot Charitable TrustS Solapur Blood Centre,Solapur,10,0.030395136778115502,0.0,0.013837172858435302
18114,Akshay Blood Centre,Solapur,10,0.030395136778115502,0.0,0.01748436757594462
18236,"Indian Red Cross Society, Dr. Bhalchandra Blood Centre",Latur,7,0.02127659574468085,0.0,0.000915303016048209
18115,"Athar Blood Centre, Solapur",Solapur,9,0.02735562310030395,0.0,0.02002958351572879
18116,Rajashri Chatrapati Shahu Maharaj Govt. Medical College And Chatrapati Pramilaraje General Hospita,Kolhapur,24,0.0729483282674772,0.0,0.0018749295060391774
18237,"Dean, Maeer,S Smt.Saraswati Karad Blood Centre",Latur,8,0.0243161094224924,5.560085995996738e-05,0.0009321570881337377
18230,Jeevandhara Buldana Urban Blood Centre Run And Managed By Shree Charitable Trust,Buldana,3,0.00911854103343465,0.0,0.000509091857940076
18231,"Dean, Swami Ramanand Tirtha Rural Medical College. And Hospital, Blood Centre",Bid,8,0.0243161094224924,0.0,0.0006238965187599586
18232,Vaidyanath Blood Centre,Bid,8,0.0243161094224924,0.0002965379197864927,0.0006157540349181107
18111,"Indian Red Cross Society Blood Centre, Shriman Rambhai Shah Blood Centre",Solapur,2,0.0060790273556231,0.0,0.00016549544412657925
18112,"Smbt Institute Of Medical Science And Research Centre, Blood Centre And Component",Nashik,11,0.03343465045592705,0.0,0.0009117527868217344
284555,M/S. Freedom Foundation Sanchlit Lifeline Blood Centre,Pune,38,0.11550151975683891,0.0,0.004714298354972891
284433,"Ayush Blood Centre, Vaduj, Tal. Khatav, Dist. Satara",Satara,19,0.057750759878419454,0.0008247460894061829,0.001454204836982838
284432,"City Blood Centre, Component And Apheresis Centre, Beed",Jalna,5,0.015197568389057751,0.0003706723997331159,0.00043925172381860297
18117,Leelavati Blood Centre,Buldana,3,0.00911854103343465,0.0,0.0005079456439192631
18238,"Ircs Nagappa Ambarkhane Blood Centre, Udgir",Latur,1,0.00303951367781155,0.0,0.0002617505270944717
18118,Annasaheb Galatge Lions Blood Centre Run By Gadhinglaj Lions Welfare Association,Kolhapur,0,0.0,0.0,0.0
18124,Acharya Shree Tulsi Blood Centre,Kolhapur,25,0.07598784194528875,0.0,0.0022756968990467973
18003,"Byl Nair Hospital, Blood Centre",Mumbai,74,0.22492401215805471,0.0,0.010863816033797038
18125,"Arpan Blood Centre, Blood Component And Apheresis Centre Kolhapur",Kolhapur,24,0.0729483282674772,0.0,0.001965674292467399
18004,Goodwill Social ClubS Amruta Blood Centre,Aurangabad,11,0.03343465045592705,0.0,0.002398823511996204
18005,Breach Candy Hospital Trust Blood Centre,Mumbai,74,0.22492401215805471,0.0,0.010378671893017005
18247,Navjivan Blood Centre Mged By Saraswati Vidyaprasarak Foundation,Mumbai,73,0.22188449848024316,0.0,0.010189686284899116
18006,St. GeorgeS Hospital And Regional Blood Centre,Mumbai,74,0.22492401215805471,0.0,0.0099250753622639
18248,Noor Hospital Blood Centre,Jalna,14,0.0425531914893617,0.00020386981985321374,0.0013274603640049977
18120,"Late Balasaheb Datye, Lions Blood Centre, Ichalkaranji",Kolhapur,24,0.0729483282674772,0.0,0.002059353021896457
18241,Shrikrishna Blood Center,Osmanabad,0,0.0,0.0,0.0
18121,"Mahatma Gandhi Hospital Blood Centre, New Pargaon",Kolhapur,28,0.0851063829787234,0.0012232189191192825,0.002123155635381697
18001,"Jaslok Hospital And Research Centre, Blood Centre",Mumbai,74,0.22492401215805471,0.0,0.010494397076960912
18122,Dr. D.Y Patil Hospital Blood Centre,Kolhapur,24,0.0729483282674772,0.0,0.0020030741463853466
18243,"Indian Red Cross Society Blood Centre, Nanded",Nanded,6,0.0182370820668693,0.0,0.011806934762141806
18244,Golwalkari Guruji Blood Centre,Nanded,6,0.0182370820668693,0.0,0.006451071249576377
18123,Rajarshi Shahu Indian Red Cross Blood Centre,Kolhapur,24,0.0729483282674772,0.0,0.0019393458765359637
18240,"Ankur Hospital Blood Centre, Chandrapur",Chandrapur,4,0.0121580547112462,0.0,0.0007840343452164644
283459,"Azad Panchi Groups Sanchalit, Janseva Blood Centre, Hinjewadi Phase-1, Pune",Pune,38,0.11550151975683891,0.0,0.006297743326568787
281039,General Hospital Malegaon Blood Centre,Nashik,7,0.02127659574468085,0.0,0.0005884120333913819
18007,Saifee Hospital Trust Blood Centre,Mumbai,74,0.22492401215805471,0.0,0.010065018289590446
18008,"Cama And Albles Hosp., Abdul Fazalbhoy Blood Centre",Mumbai,74,0.22492401215805471,0.0,0.009923463924990699
18129,Chattrapati Shahu Maharaj Aadhar Blood Centre,Pune,38,0.11550151975683891,0.0,0.010322387935456673
18009,Bombay Red Cross Blood Centre,Mumbai,74,0.22492401215805471,0.0,0.00922165952809817
284140,Arpan Blood Centre Nanded,Nanded,3,0.00911854103343465,0.0011120171991993476,0.0008992721468896848
18214,"Kakasaheb Chitle Memorial Centre Sanchalit, Jankalyan Blood Centre",Raigarh,0,0.0,0.0,0.0
18215,"Shree Sai Medical TrustS, Shree Sai Blood Centre, Old Panvel",Raigarh,73,0.22188449848024316,0.0,0.008058471270283266
284016,"Dr. R.N.Cooper Hospital Blood Centre Vile Parle (W) Mumbai,",Mumbai,73,0.22188449848024316,9.266809993327898e-06,0.014144392564238994
284015,Aai Bahuuddeshiya Sevabhavi Sanstha Shourya Blood Centre Yavatmal,Yavatmal,4,0.0121580547112462,0.0,0.0003784310890661547
284499,"M/S.Uaims Advanced Blood Centre, Ushahkal Abhinav Institute Of Medical Sciences(Uaims), Sangli. (A U",Sangli,25,0.07598784194528875,0.0,0.0023490587050176257
284014,"Shri Kamala Bhavani Blood Centre, Karmala",Solapur,1,0.00303951367781155,0.0,0.00010759434350301984
284254,Blood Center District Hospital Aurangabad,Aurangabad,13,0.03951367781155015,0.0003706723997331159,0.0022197330380833605
18216,Rotary Club New Panvel Charitable Trust S Late Dr. B.V. Limaye Blood Centre,Raigarh,73,0.22188449848024316,0.0,0.00806350602588548
283286,Raigad Hospital Blood Centre Of Saraswati Education Society,Raigarh,1,0.00303951367781155,0.0,0.00010759434350301984
18223,Dattaji Bhale Blood Centre,Aurangabad,11,0.03343465045592705,0.0,0.0024664791605112112
18102,"Krishna Hospital And Medical Research Centre, Blood Centre",Satara,8,0.0243161094224924,0.002983912817851583,0.0017419407203040297
18103,Mauli Blood Centre satara,Satara,7,0.02127659574468085,0.0,0.0011266934562779878
18225,Adarsh Blood Centre,Aurangabad,11,0.03343465045592705,0.0,0.0024514670763614737
18104,Phaltan Medical FoundationS Blood Centre,Satara,3,0.00911854103343465,0.0012602861590925941,0.0008654065527476908
18105,Yashwantrao Chavan Blood Centre,Satara,8,0.0243161094224924,0.0,0.0017493500644562127
18226,Lions Blood Centre,Aurangabad,11,0.03343465045592705,0.0,0.0023980791419414118
18220,"Mauli Blood Centre, Latur",Latur,8,0.0243161094224924,0.0,0.0009247453094470594
18221,Shri Sai Seva Medical Foundation Sanchalit Nirnay Janseva Blood Centre,Dhule,8,0.0243161094224924,0.0,0.000837967589703538
18227,Jankalyan Blood Centre,Jalna,4,0.0121580547112462,0.0,0.0008915121152143033
18107,Dr. Hegdewar Rakta Pedhi,Solapur,10,0.030395136778115502,0.0,0.016549987146450666
18228,"Civil Surgeon, General Hospital, Blood Centre",Jalna,4,0.0121580547112462,0.0,0.0009012789597612572
18108,"Ima, Sahakar Maharshi Shankarrao Mohite Patil Blood Centre",Solapur,3,0.00911854103343465,0.0,0.00029408864029312654
18229,Kalpataru Bahuuddeshiya Sansthas Lokmanya Blood Centre Gondia,Gondiya,1,0.00303951367781155,0.0,0.012105191639135858
18109,"Indian Red Cross Society Blood Centre, Bai Gopabai Damani Blood Centre, Solapur",Solapur,10,0.030395136778115502,0.0,0.01425627570352133
284361,"Laksh Foundation, Lifeline Blood Centre, Nashik",Nashik,11,0.03343465045592705,0.0,0.0009864860215621038
